ID,img_origin,placement,boil_nbr,pan_nbr,polygon
ID00rw8,D,roof,0,2,"[(2087, 2179.0), (2181, 2191.0), (2171, 2223.0), (2257, 2227.0), (2207, 2335.0), (2007, 2329.0)]"
ID014O6EC7,D,roof,0,1,"[(1327, 1574.0), (1595, 1308.0), (2169, 1744.0), (1903, 2008.0)]"
ID020cu0z,D,openspace,0,1,"[(2215, 1372.0), (2400, 1422.0), (2316, 1716.0), (2137, 1671.0)]"
ID024YTBkLvRpQahT,D,roof,0,1,"[(1574, 526.0), (1698, 366.0), (1810, 422.0), (1698, 578.0)]"
ID024YTBkLvRpQahT,D,roof,0,2,"[(1402, 782.0), (1814, 854.0), (1726, 1074.0), (1558, 986.0), (1530, 1030.0), (1306, 938.0)]"
ID024YTBkLvRpQahT,D,roof,0,2,"[(2042, 2238.0), (2362, 2326.0), (2290, 2474.0), (2134, 2430.0), (2066, 2558.0), (1882, 2502.0)]"
ID02vByTw8Htl,D,roof,0,1,"[(2931, 1712.0), (3135, 1923.0), (2876, 2168.0), (2681, 1963.0)]"
ID04S4rM9Qs,D,roof,0,1,"[(132, 2298.0), (1257, 2097.0), (1512, 2337.0), (1008, 2474.0)]"
ID04S4rM9Qs,D,roof,0,1,"[(2118, 810.0), (2391, 651.0), (2784, 852.0), (2493, 1026.0)]"
ID06Zb8HWf7XPxodI,D,roof,0,1,"[(1602, 1850.0), (1664, 1572.0), (2202, 1690.0), (2160, 1966.0)]"
ID08l4qXO27c08,D,roof,0,1,"[(2027, 1433.0), (1917, 1599.0), (1784, 1515.0), (1895, 1347.0)]"
ID08lsWcpi7,D,roof,0,2,"[(2329, 1195.0), (2662, 1235.0), (2689, 1552.0), (2355, 1512.0)]"
ID09o6w2iKE7RG,D,roof,0,1,"[(3512, 2390.0), (3219, 2349.0), (3222, 2231.0), (3507, 2268.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(249, 234.0), (292, 268.0), (195, 386.0), (154, 348.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(403, 167.0), (444, 200.0), (350, 313.0), (308, 277.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(305, 281.0), (349, 320.0), (255, 429.0), (212, 394.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(345, 119.0), (387, 150.0), (291, 266.0), (252, 230.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(459, 216.0), (497, 248.0), (405, 360.0), (365, 326.0)]"
ID09pzWgf,S,S-unknown,0,29,"[(363, 330.0), (404, 362.0), (311, 472.0), (269, 441.0)]"
ID0A1BdazZ,D,roof,0,1,"[(2609, 1877.0), (2724, 1878.0), (2604, 2089.0), (2489, 2085.0)]"
ID0AGL1m6y7,D,roof,0,1,"[(1590, 1675.0), (1654, 1518.0), (1790, 1562.0), (1720, 1720.0)]"
ID0AGL1m6y7,D,roof,0,1,"[(1758, 1346.0), (1693, 1137.0), (1781, 1111.0), (1848, 1326.0)]"
ID0BqUUCBEQD,D,roof,0,1,"[(1528, 1260.0), (1624, 1036.0), (2239, 1320.0), (2158, 1531.0)]"
ID0CptzyJb,D,roof,0,1,"[(1593, 1191.0), (1938, 1284.0), (1908, 1474.0), (1557, 1374.0)]"
ID0CptzyJb,D,roof,0,1,"[(2352, 1429.0), (2518, 1474.0), (2443, 1855.0), (2272, 1822.0)]"
ID0DdRvmapzcn4h,D,roof,0,1,"[(1924, 2137.0), (2137, 2014.0), (2299, 2215.0), (2082, 2337.0)]"
ID0EY9Xig8J,D,roof,0,1,"[(1757, 1326.0), (1820, 1313.0), (1820, 1347.0), (1758, 1361.0)]"
ID0EY9Xig8J,D,roof,0,1,"[(2103, 1353.0), (2275, 1314.0), (2267, 1535.0), (2093, 1575.0)]"
ID0EY9Xig8J,D,roof,0,1,"[(1855, 1731.0), (1918, 1726.0), (1911, 1761.0), (1850, 1767.0)]"
ID0FA2hnX5U3,D,roof,0,2,"[(2157, 1453.0), (2349, 1525.0), (2371, 1509.0), (2575, 1587.0), (2257, 1989.0), (2055, 1909.0), (2075, 1871.0), (1881, 1793.0)]"
ID0GSCMR,D,roof,0,1,"[(2096, 1716.0), (1518, 1650.0), (1551, 1199.0), (2123, 1254.0)]"
ID0I1tHW,S,S-unknown,1,0,"[(148, 374.0), (212, 302.0), (290, 352.0), (254, 436.0)]"
ID0J1fUPYuYHlxFi,D,roof,0,1,"[(2453, 1639.0), (2090, 1897.0), (1463, 1028.0), (1804, 781.0)]"
ID0J1fUPYuYHlxFi,D,roof,0,1,"[(2640, 489.0), (3063, 605.0), (2777, 1622.0), (2348, 1496.0)]"
ID0K20RbBcx5oQTp,D,roof,0,1,"[(2806, 2076.0), (3040, 2098.0), (3022, 2394.0), (2766, 2368.0)]"
ID0LAniRBVZZ8,S,S-unknown,0,7,"[(188, 288.0), (121, 258.0), (129, 232.0), (202, 259.0)]"
ID0LAniRBVZZ8,S,S-unknown,0,7,"[(196, 292.0), (191, 320.0), (118, 286.0), (124, 260.0)]"
ID0LiUx9,D,roof,0,1,"[(2208, 2484.0), (2216, 2324.0), (2672, 2188.0), (2671, 2352.0)]"
ID0LiUx9,D,roof,0,3,"[(2440, 824.0), (2336, 1276.0), (1908, 1128.0), (2016, 672.0)]"
ID0LiUx9,D,roof,0,2,"[(2168, 2684.0), (2656, 2532.0), (2644, 2656.0), (2696, 2648.0), (2720, 2848.0), (2240, 3000.0)]"
ID0LlEkllD,D,roof,0,1,"[(2274, 1082.0), (2398, 1200.0), (2268, 1298.0), (2140, 1180.0)]"
ID0LlEkllD,D,roof,0,1,"[(1848, 3000.0), (1830, 2977.0), (1921, 2916.0), (1965, 2957.0), (1905, 3000.0)]"
ID0LoiO,D,roof,0,1,"[(1660, 1374.0), (1922, 1232.0), (2368, 1666.0), (2102, 1798.0)]"
ID0M7AXp9,D,roof,0,2,"[(1195, 1276.0), (783, 1167.0), (919, 754.0), (1329, 870.0)]"
ID0M7AXp9,D,roof,0,1,"[(594, 1717.0), (651, 1537.0), (1063, 1650.0), (1009, 1830.0)]"
ID0M7AXp9,D,roof,0,1,"[(1005, 1602.0), (672, 1494.0), (756, 1246.0), (1099, 1344.0)]"
ID0MafAkn,D,openspace,0,1,"[(441, 1323.0), (712, 1156.0), (1065, 1749.0), (796, 1908.0)]"
ID0NBssEGmPwudCC,D,roof,0,1,"[(2691, 1761.0), (2213, 1602.0), (2266, 1393.0), (2744, 1543.0)]"
ID0Ova9wB66IuXNMm,D,roof,0,1,"[(1380, 2059.0), (1150, 1957.0), (1371, 1465.0), (1608, 1561.0)]"
ID0Ova9wB66IuXNMm,D,roof,0,1,"[(596, 2900.0), (706, 2758.0), (860, 2908.0), (730, 3000.0)]"
ID0POc2HN,S,S-unknown,1,0,"[(328, 354.0), (308, 262.0), (370, 251.0), (386, 335.0)]"
ID0QSM0x4,D,openspace,0,3,"[(2358, 1945.0), (2383, 2602.0), (2008, 2655.0), (2002, 2425.0), (2049, 2427.0), (2047, 2248.0), (2071, 2242.0), (2055, 2013.0)]"
ID0QSM0x4,D,openspace,0,1,"[(3885, 1599.0), (3920, 1751.0), (3584, 1971.0), (3555, 1814.0)]"
ID0RNQgs4Y1a7,S,S-unknown,1,0,"[(233, 406.0), (263, 402.0), (274, 436.0), (224, 452.0)]"
ID0TgGwsRacbg,D,roof,0,1,"[(2688, 1581.0), (2499, 1680.0), (2328, 1455.0), (2508, 1362.0)]"
ID0WQmgtT5sDw8,D,roof,0,2,"[(2599, 1208.0), (2869, 1240.0), (2719, 1947.0), (2458, 1910.0)]"
ID0WhPOxFxf,D,roof,0,1,"[(1579, 1414.0), (2013, 1145.0), (2135, 1313.0), (1700, 1580.0)]"
ID0WhPOxFxf,D,roof,0,1,"[(569, 1537.0), (623, 1519.0), (672, 1592.0), (616, 1608.0)]"
ID0XZ9lm2m,D,roof,0,1,"[(2360, 2158.0), (2822, 1980.0), (3100, 2326.0), (2630, 2492.0)]"
ID0XZ9lm2m,D,roof,0,1,"[(3178, 1750.0), (3432, 1650.0), (3566, 1878.0), (3308, 1986.0)]"
ID0XksrqV55J4rH,D,roof,0,1,"[(2115, 2248.0), (2355, 2080.0), (2543, 2240.0), (2311, 2412.0)]"
ID0XksrqV55J4rH,D,roof,0,2,"[(1207, 784.0), (1579, 512.0), (1791, 868.0), (1431, 1120.0)]"
ID0XksrqV55J4rH,D,roof,0,1,"[(2463, 2276.0), (2363, 2148.0), (2555, 1960.0), (2755, 2120.0)]"
ID0Y4qEEE8Hqeap,D,roof,0,2,"[(1572, 1440.0), (1837, 1422.0), (1909, 1542.0), (2100, 1516.0), (2214, 1701.0), (1759, 1746.0)]"
ID0YWEiDPjmAfA50E,S,S-unknown,1,0,"[(468, 228.0), (508, 237.0), (497, 316.0), (443, 303.0)]"
ID0aPQrc8JKq,D,roof,0,1,"[(2644, 1500.0), (2854, 1650.0), (2656, 1934.0), (2450, 1790.0)]"
ID0c6FPgUvhR4n,D,roof,0,1,"[(2592, 1227.0), (2526, 1002.0), (2826, 828.0), (2898, 1068.0)]"
ID0eNlg,D,roof,0,1,"[(2117, 3761.0), (2129, 3837.0), (2009, 3861.0), (1993, 3789.0)]"
ID0eNlg,D,roof,0,1,"[(2569, 2173.0), (3249, 1989.0), (3313, 2205.0), (2617, 2389.0)]"
ID0eNlg,D,roof,0,1,"[(1669, 2513.0), (2001, 2433.0), (2057, 2645.0), (1725, 2737.0)]"
ID0fku42cIK,D,r_openspace,0,1,"[(2371, 269.0), (2288, 225.0), (2307, 149.0), (2395, 193.0)]"
ID0fku42cIK,D,r_openspace,0,2,"[(2515, 1612.0), (2602, 1636.0), (2560, 1826.0)]"
ID0fku42cIK,D,r_openspace,0,1,"[(2229, 1552.0), (2468, 1477.0), (2510, 1597.0), (2271, 1668.0), (2473, 1803.0)]"
ID0fku42cIK,D,r_openspace,0,1,"[(364, 262.0), (483, 252.0), (507, 306.0), (389, 313.0)]"
ID0fku42cIK,D,r_openspace,0,1,"[(894, 257.0), (887, 228.0), (917, 231.0), (922, 259.0)]"
ID0g0Yd,S,S-unknown,1,0,"[(405, 350.0), (440, 346.0), (459, 402.0), (383, 423.0)]"
ID0gqPn79xgD3LdFC,D,roof,0,1,"[(1755, 1974.0), (1554, 1785.0), (2013, 1647.0), (2205, 1845.0)]"
ID0gqPn79xgD3LdFC,D,roof,0,2,"[(2480, 956.0), (2594, 1062.0), (2520, 1097.0), (2632, 1203.0), (2266, 1368.0), (2026, 1150.0)]"
ID0gqPn79xgD3LdFC,D,roof,0,1,"[(2984, 947.0), (2941, 913.0), (3002, 886.0), (3046, 922.0)]"
ID0i0OxJO5ZA,D,roof,0,1,"[(2136, 2175.0), (2520, 2232.0), (2418, 2961.0), (2001, 2913.0)]"
ID0i0OxJO5ZA,D,roof,0,1,"[(2265, 2028.0), (2397, 1758.0), (2754, 1791.0), (2643, 2052.0)]"
ID0i0OxJO5ZA,D,roof,0,1,"[(1641, 1971.0), (1770, 1557.0), (2316, 1602.0), (2208, 2001.0)]"
ID0i0OxJO5ZA,D,roof,0,1,"[(3954, 1539.0), (3963, 1422.0), (4116, 1509.0), (4104, 1608.0)]"
ID0kQ7MVfqVBmd,D,roof,0,1,"[(1587, 1678.0), (1828, 1601.0), (1929, 1796.0), (1683, 1873.0)]"
ID0kxS4qaE,D,roof,0,1,"[(2476, 1978.0), (2358, 1818.0), (2646, 1850.0), (2750, 2018.0)]"
ID0lNMGz,D,roof,0,2,"[(1650, 1265.0), (1653, 1382.0), (1682, 1377.0), (1679, 1472.0), (1514, 1508.0), (1515, 1296.0)]"
ID0lNMGz,D,roof,0,1,"[(1757, 1455.0), (1742, 1880.0), (1496, 1940.0), (1514, 1515.0)]"
ID0lNMGz,D,roof,0,1,"[(1412, 1553.0), (1413, 1940.0), (1104, 2019.0), (1100, 1632.0)]"
ID0lNMGz,D,roof,0,1,"[(1497, 1361.0), (1496, 1500.0), (1059, 1619.0), (1053, 1472.0)]"
ID0ludghAT,D,roof,0,1,"[(1925, 1611.0), (2357, 1523.0), (2484, 1783.0), (2052, 1863.0)]"
ID0m0ZliU0PgwB,D,roof,0,1,"[(1488, 1034.0), (1306, 938.0), (1350, 796.0), (1530, 878.0)]"
ID0m0ZliU0PgwB,D,roof,0,1,"[(1542, 1342.0), (1198, 1152.0), (1266, 898.0), (1612, 1092.0)]"
ID0m0ZliU0PgwB,D,roof,0,1,"[(1492, 874.0), (1346, 804.0), (1386, 680.0), (1532, 758.0)]"
ID0o1YrpVl4,D,roof,0,1,"[(2838, 1033.0), (2709, 856.0), (2955, 627.0), (3097, 819.0)]"
ID0o1YrpVl4,D,roof,0,1,"[(4023, 2668.0), (4360, 2372.0), (4519, 2565.0), (4176, 2847.0)]"
ID0o9Ls6YJsO4W7,D,roof,0,1,"[(2217, 1779.0), (2460, 1299.0), (2730, 1395.0), (2505, 1896.0)]"
ID0o9Ls6YJsO4W7,D,roof,0,1,"[(1908, 2116.0), (1580, 1888.0), (1716, 1752.0), (2034, 1998.0)]"
ID0opvc,D,roof,0,1,"[(2870, 2210.0), (3101, 2271.0), (3087, 2401.0), (2855, 2348.0)]"
ID0pSKpmX3TC,D,roof,0,2,"[(2743, 1950.0), (2801, 1974.0), (2830, 2103.0), (2806, 2173.0), (2695, 2118.0), (2722, 2015.0)]"
ID0q99Ha1b8hB3ZW,D,roof,0,1,"[(2874, 824.0), (2902, 990.0), (2652, 1036.0), (2628, 868.0)]"
ID0qhtlQl,D,roof,0,1,"[(1828, 1481.0), (2202, 1490.0), (2229, 1734.0), (1852, 1662.0)]"
ID0sCw7,D,openspace,0,1,"[(2083, 2476.0), (2140, 2475.0), (2229, 2537.0), (2173, 2544.0)]"
ID0snDIF,D,roof,0,1,"[(2475, 1379.0), (2837, 1590.0), (2795, 1733.0), (2435, 1523.0)]"
ID0snDIF,D,roof,0,1,"[(2076, 1467.0), (2393, 1383.0), (2374, 1529.0), (2058, 1603.0)]"
ID0sr6s4L5,D,roof,0,18,"[(2023, 842.0), (2535, 981.0), (2815, 1069.0), (3322, 1428.0), (3147, 1710.0), (2451, 1637.0), (2160, 1531.0), (1879, 1331.0), (1871, 1093.0)]"
ID0vv2iR2,D,roof,0,1,"[(2659, 1514.0), (2777, 1497.0), (2886, 1703.0), (2769, 1724.0)]"
ID0w0xWq7fmB,D,roof,0,1,"[(2060, 1564.0), (2016, 1304.0), (2520, 1384.0), (2562, 1640.0)]"
ID0wVeQBkPG,D,roof,0,1,"[(1682, 1491.0), (1928, 1534.0), (1935, 1612.0), (1688, 1570.0)]"
ID0xgvUIPEyNAU9z,D,roof,0,1,"[(1487, 1254.0), (1849, 1222.0), (1927, 1684.0), (1549, 1724.0)]"
ID0xgvUIPEyNAU9z,D,roof,0,2,"[(2004, 1164.0), (2626, 1088.0), (2710, 1524.0), (2086, 1604.0)]"
ID0yK5YlHQXWoZ9,D,roof,0,2,"[(2432, 1130.0), (2643, 1228.0), (1361, 1562.0), (2166, 1451.0)]"
ID10RxcCK,D,roof,0,1,"[(2362, 2064.0), (2450, 1944.0), (2632, 2139.0), (2545, 2254.0)]"
ID10RxcCK,D,roof,0,1,"[(2478, 1938.0), (2552, 1871.0), (2667, 2031.0), (2592, 2097.0)]"
ID1137hsjU,D,openspace,0,4,"[(1475, 1045.0), (2101, 1267.0), (1763, 1867.0), (1137, 1637.0)]"
ID1137hsjU,D,openspace,0,1,"[(2207, 1565.0), (2535, 1701.0), (2471, 1803.0), (2141, 1663.0)]"
ID14TgPnsKIOhf0K,D,roof,0,1,"[(2047, 1244.0), (2237, 1157.0), (2251, 1304.0), (2057, 1387.0)]"
ID15YiRan,D,roof,0,2,"[(1617, 1472.0), (1695, 1270.0), (1893, 1316.0), (1901, 1436.0), (1873, 1544.0)]"
ID1BXZkctiPb,D,roof,0,1,"[(3120, 1693.0), (3200, 1717.0), (3163, 1827.0), (3084, 1803.0)]"
ID1CMGxUF,D,roof,0,1,"[(2099, 1169.0), (2251, 1081.0), (2653, 1277.0), (2503, 1359.0)]"
ID1CMGxUF,D,roof,0,1,"[(1039, 1793.0), (1265, 1917.0), (1183, 1959.0), (955, 1827.0)]"
ID1F5xvmt,D,roof,0,1,"[(3632, 2556.0), (3638, 2640.0), (3518, 2654.0), (3508, 2574.0)]"
ID1GCDgiPiBiHglB,D,roof,0,1,"[(1817, 863.0), (1916, 843.0), (1963, 970.0), (1863, 998.0)]"
ID1GCDgiPiBiHglB,D,roof,0,1,"[(1698, 1975.0), (1826, 1934.0), (1891, 2063.0), (1766, 2107.0)]"
